ID;Família;Recurso;Dados;Métodos;Decisão apoiada;Status;Responsabilidade
AN-020;Engenharia, produção, compras e logística;Produtos, materiais e BOM;Revisões, componentes, quantidades, serviços e custos;Explosão de materiais, operações matriciais e sensibilidade de custo;Componentes que mais influenciam custo e disponibilidade;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-021;Engenharia, produção, compras e logística;EAP, cronograma e capacidade;Precedências, durações, recursos, calendários e execução;"Caminho crítico; PERT com estimativas documentadas; Monte Carlo e programação por restrições";Gargalos, risco de atraso e alternativas de sequenciamento;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-022;Engenharia, produção, compras e logística;Ordens de produção e apontamentos;Tempos, consumo, quantidades, espera, perdas e retrabalho;Estatística de tempos, produtividade e curvas de aprendizado;Etapas instáveis, desperdícios e oportunidades de melhoria;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-023;Engenharia, produção, compras e logística;Planejamento de recursos;Carga de trabalho, equipes, máquinas e terceirização;Programação linear inteira e programação por restrições;Alocação sugerida que respeite capacidade, precedências e datas;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-024;Engenharia, produção, compras e logística;Qualidade e inspeções;Medições, limites técnicos, defeitos e lotes;Pareto, cartas de controle, EWMA/CUSUM e capacidade de processo quando válida;Mudanças no processo e características fora da especificação;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-025;Engenharia, produção, compras e logística;Medição e calibração;Referências, repetições, operadores e instrumentos;Viés, repetibilidade, reprodutibilidade e propagação de incerteza;Confiabilidade das medições utilizadas nas decisões;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-026;Engenharia, produção, compras e logística;Cotações e fornecedores;Preço, frete, qualidade, prazo prometido e entrega real;Custo total, distribuição de lead time e pontuação multicritério transparente;Fornecedor adequado ao custo, prazo e risco do projeto;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-027;Engenharia, produção, compras e logística;Compras e reposição;Necessidades da BOM, reservas, saldos e prazos;"MRP; ponto de reposição e estoque de segurança para itens recorrentes";O que comprar, quanto e quando;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-028;Engenharia, produção, compras e logística;Estoque e inventário;Local, propriedade, consumo, reserva, saldo e ajuste;"ABC por valor; XYZ por variabilidade; cobertura e giro";Excesso, ruptura, baixa movimentação e divergências físicas;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-029;Engenharia, produção, compras e logística;Terceirização;Remessas, retornos, consumo, serviços e perdas;Balanço de materiais, variação de prazo e comparação de custo;Material em terceiros e desempenho da fabricação contratada;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-030;Engenharia, produção, compras e logística;Expedição, transporte e instalação;Dimensões, carga, locais, recursos, janelas e custos;"Otimização de rotas e alocação; distribuição do prazo de entrega";Viagens, agendas e entregas com menor custo e atraso;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-031;Engenharia, produção, compras e logística;Assistência e manutenção;Falhas, horas de uso, reparos, peças, garantia e preventivas;"MTBF/MTTR com exposição conhecida; Kaplan–Meier e Weibull quando adequados";Falhas recorrentes, risco de indisponibilidade e manutenção sugerida;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-032;Engenharia, produção, compras e logística;Desenvolvimento de produtos;Requisitos, testes, versões, custos e desempenho em campo;Planejamento de experimentos, regressão, ANOVA, superfície de resposta e análise de falhas;Alterações que melhoram desempenho, confiabilidade e custo;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-033;Jurídico, gestão e melhoria contínua;Contratos, garantias e obrigações;Partes, versões, entregáveis, cláusulas cadastradas, vigências e evidências;Regras de prazo, dependências e matrizes de risco;Obrigações pendentes, vencimentos e exposição contratual;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-034;Jurídico, gestão e melhoria contínua;Ocorrências e riscos jurídicos;Evento, contrato, documentação, responsável e avaliação profissional;Cenários e impacto esperado, quando houver probabilidade fundamentada;Priorização de providências e necessidade de revisão;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-035;Jurídico, gestão e melhoria contínua;Central de problemas e oportunidades;Desvios, tendências, hipóteses, exposição, impacto e evidência;Regras, anomalias estatísticas e priorização multicritério;Lista explicável do que merece atenção;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-036;Jurídico, gestão e melhoria contínua;Planos de ação;Decisão, responsável, prazo, custo, meta e execução;Comparação previsto/realizado e avaliação de efeito;Quais intervenções produziram resultado;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-037;Jurídico, gestão e melhoria contínua;Experimentos gerenciais;Hipótese, grupos, intervenção, métricas e período;Testes controlados, análise de poder e intervalos de confiança;Evidência para mudar preço, processo, produto ou abordagem comercial;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-038;Jurídico, gestão e melhoria contínua;Relatórios e avaliação da gestão;Indicadores e decisões de todas as áreas;Tendência, comparação por coorte e análise de contribuição;Evolução de valor entregue ao cliente e desempenho da Fourtech;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
